Lakme,Rs. 161,"4.3
|
20.8k",Lumi Skin Cream 30 g,Rs. 299,Rs. 161,(46% OFF),Personal Care,https://www.myntra.com/day-cream/lakme/lakme-lumi-skin-cream-30-g/15506300/buy
Livon,Rs. 170,"4.5
|
2.1k",Set Of 2 Anti-Frizz Hair Serum,Rs. 340,Rs. 170,(50% OFF),Personal Care,https://www.myntra.com/hair-serum/livon/livon-set-of-2-anti-frizz-hair-serum-with-vitamin-e--argan-oil---50ml-each/24809836/buy
Garnier,Rs. 197,"4.5
|
4.6k",Anti-Ageing Cream 40g,Rs. 329,Rs. 197,(40% OFF),Personal Care,https://www.myntra.com/skin-care-combo/garnier/garnier-skin-naturals-wrinkle-lift-anti-ageing-cream---40g/7085392/buy
Philips,Rs. 1476,"4.3
|
4k",MG3710/65 Multi Groomer Set,Rs. 1995,Rs. 1476,(26% OFF),Personal Care,https://www.myntra.com/trimmer/philips/philips-mg371065-all-in-one-cordless-trimmer-9-in-1-multi-groomer-face--body---black-/17541242/buy
Himalaya,Rs. 120,"4.5
|
30.9k",Purifying Neem Face Wash 200ml,Rs. 250,Rs. 120,(52% OFF),Personal Care,https://www.myntra.com/face-wash-and-cleanser/himalaya/himalaya-purifying-neem-face-wash-200ml/6628423/buy
Biotique,Rs. 113,"4.4
|
35.9k",Bio Cucumber Sustainable Toner120 ml,Rs. 210,Rs. 113,(46% OFF),Personal Care,https://www.myntra.com/toner/biotique/biotique-bio-cucumber-pore-tightening-sustainable-tonerwith-himalayan-waters-120-ml/1919958/buy
Envy,Rs. 174,"4.4
|
14.5k",Men Natural Body Spray - 70ml,Rs. 349,Rs. 174,(50% OFF),Personal Care,https://www.myntra.com/body-mist-and-spray/envy/envy-men-natural-gas-free-long-lasting-body-spray---70ml/18741060/buy
Patanjali,Rs. 240,"4.8
|
18",Set of 3 Aloe Vera Gel,Rs. 300,Rs. 240,(20% OFF),Personal Care,https://www.myntra.com/serum-and-gel/patanjali/patanjali-set-of-3-saundarya-aloe-vera-gel-for-pimples--wrinkles---150-ml-each/26078980/buy
Lotus Herbals,Rs. 177,"4.4
|
11.1k",Sustainable WhiteGlow Tightening Gel Creme,Rs. 295,Rs. 177,(40% OFF),Personal Care,https://www.myntra.com/day-cream/lotus+herbals/lotus-herbals-sustainable-whiteglow-skin-tightening--brightening-gel-creme-with-spf-25-40g/1920200/buy
indulekha,Rs. 206,"4.3
|
7.6k",Anti-Hairfall Shampoo 200 ml,Rs. 243,Rs. 206,(15% OFF),Personal Care,https://www.myntra.com/shampoo/indulekha/indulekha-unisex-bringha-anti-hairfall-shampoo-200-ml/2508208/buy
Lakme,Rs. 274,"4.4
|
1.8k",Skin Brightening Night Creme,Rs. 499,Rs. 274,(45% OFF),Personal Care,https://www.myntra.com/night-cream/lakme/lakme-absolute-perfect-radiance-skin-brightening-night-creme-50-g/1254193/buy
LOreal,Rs. 156,"4.4
|
9.1k",6 Oil Nourish Shampoo,Rs. 209,Rs. 156,(25% OFF),Personal Care,https://www.myntra.com/shampoo/loreal/loreal-paris-extraordinary-oil-nourishing-shampoo-for-dry--dull-hair---180ml/5711014/buy
